food,temp,day,leng
0.25,20,1,0.4090907
0.25,20,3,0.5227271
0.25,20,4.1,0.6420453
0.25,20,6,0.7272726
0.25,20,9.2,0.9431816
0.25,20,10.2,0.9602271
0.25,20,12.2,1.125
0.25,20,15.3,1.221591
0.25,20,18.3,1.306818
0.25,20,24.4,1.392045
0.25,25,1,0.3749998
0.25,25,2,0.5113634
0.25,25,3,0.5909089
0.25,25,4.1,0.6988634
0.25,25,5,0.7954544
0.25,25,7.2,0.9261362
0.25,25,8.2,1.039773
0.25,25,9.2,1.022727
0.25,25,10.2,1.130682
0.25,25,11.2,1.113636
0.25,25,12.2,1.164773
0.25,25,13.3,1.204545
0.25,25,14.3,1.295454
0.25,25,15.3,1.261364
0.25,25,16.4,1.352273
0.25,25,17.3,1.301136
0.25,25,18.3,1.352273
0.25,25,19.3,1.318182
0.25,25,21.3,1.397727
0.25,25,23.3,1.443182
0.25,25,25.4,1.465909
1,11,2,0.4829544
1,11,4.1,0.4659089
1,11,6.1,0.556818
1,11,8.1,0.5340908
1,11,10.2,0.6534089
1,11,12.2,0.6306816
1,11,16.3,0.7784089
1,11,20.3,0.9602271
1,11,31.4,1.215909
1,11,46.3,1.357954
1,20,1,0.4147725
1,20,3,0.5227271
1,20,4.1,0.6420453
1,20,5.1,0.7670453
1,20,6.1,0.8409089
1,20,8.1,1.039773
1,20,11.2,1.181818
1,20,14.4,1.346591
1,20,17.4,1.414773
1,20,19.4,1.505682
1,20,22.4,1.625
1,20,28.5,1.744318
1,20,31.4,1.75
1,20,36.6,1.778409
1,20,45.5,1.795454
1,25,1,0.4602271
1,25,2,0.5852271
1,25,3,0.7670453
1,25,4.7,0.994318
1,25,6.1,1.136364
1,25,8.1,1.352273
1,25,10.2,1.465909
1,25,12.2,1.534091
1,25,14.4,1.596591
1,25,16.3,1.664773
1,25,18.4,1.698864
1,25,20.3,1.710227
1,25,22.4,1.721591
16,11,2,0.5681816
16,11,3.1,0.4090907
16,11,7.1,0.5227271
16,11,10.2,0.6022726
16,11,14.3,0.7329544
16,11,16.2,0.9829544
16,11,18.3,0.9374998
16,11,24.4,1.215909
16,11,30.5,1.431818
16,11,32.5,1.392045
16,11,38.6,1.539773
16,11,46.5,1.664773
16,11,54.4,1.704545
16,20,3.1,0.7272726
16,20,5.1,0.9090908
16,20,6.1,0.8636362
16,20,8.2,1.1875
16,20,10.2,1.346591
16,20,11.3,1.448864
16,20,13.3,1.596591
16,20,14.3,1.528409
16,20,15.3,1.568182
16,20,16.2,1.647727
16,20,17.4,1.613636
16,20,18.3,1.653409
16,20,20.4,1.772727
16,20,27.5,1.931818
16,20,38.6,2.051136
16,20,52.4,2.295455
16,25,3.1,0.8011362
16,25,4.1,1.0625
16,25,6.1,1.198864
16,25,8.2,1.448864
16,25,10.2,1.630682
16,25,12.3,1.721591
16,25,14.3,1.863636
16,25,15.3,1.971591
16,25,17.4,2.056818
16,25,19.5,2.079545
16,25,21.5,2.153409
16,25,23.5,2.272727
