date	rad	interpolated
1981-01-01	197	0
1981-01-02	89	0
1981-01-03	49	0
1981-01-04	111	0
1981-01-05	161	0
1981-01-06	55	0
1981-01-07	322	0
1981-01-08	556	0
1981-01-09	250	0
1981-01-10	151	0
1981-01-11	194	0
1981-01-12	206	0
1981-01-13	132	0
1981-01-14	412	0
1981-01-15	293	0
1981-01-16	271	0
1981-01-17	255	0
1981-01-18	90	0
1981-01-19	110	0
1981-01-20	83	0
1981-01-21	156	0
1981-01-22	488	0
1981-01-23	486	0
1981-01-24	196	0
1981-01-25	346	1
1981-01-26	497	1
1981-01-27	647	0
1981-01-28	236	0
1981-01-29	275	0
1981-01-30	618	0
1981-01-31	605	0
1981-02-01	710	0
1981-02-02	678	0
1981-02-03	86	0
1981-02-04	92	0
1981-02-05	400	0
1981-02-06	551	0
1981-02-07	151	0
1981-02-08	101	0
1981-02-09	208	0
1981-02-10	245	0
1981-02-11	357	0
1981-02-12	445	0
1981-02-13	468	0
1981-02-14	596	0
1981-02-15	427	0
1981-02-16	447	0
1981-02-17	724	0
1981-02-18	492	0
1981-02-19	389	0
1981-02-20	358	0
1981-02-21	604	0
1981-02-22	398	0
1981-02-23	296	0
1981-02-24	467	0
1981-02-25	267	0
1981-02-26	972	0
1981-02-27	1127	0
1981-02-28	1083	0
1981-03-01	252	0
1981-03-02	781	0
1981-03-03	405	0
1981-03-04	233	0
1981-03-05	795	0
1981-03-06	840	0
1981-03-07	615	0
1981-03-08	188	0
1981-03-09	516	0
1981-03-10	667	0
1981-03-11	253	0
1981-03-12	201	0
1981-03-13	313	0
1981-03-14	624	0
1981-03-15	1237	0
1981-03-16	967	0
1981-03-17	390	0
1981-03-18	376	0
1981-03-19	957	0
1981-03-20	1330	0
1981-03-21	1435	0
1981-03-22	1593	0
1981-03-23	1172	0
1981-03-24	1036	0
1981-03-25	384	0
1981-03-26	294	0
1981-03-27	1301	0
1981-03-28	1664	0
1981-03-29	1538	0
1981-03-30	1410	0
1981-03-31	758	0
1981-04-01	1162	0
1981-04-02	1406	0
1981-04-03	1738	0
1981-04-04	166	0
1981-04-05	650	0
1981-04-06	842	0
1981-04-07	1791	0
1981-04-08	1353	0
1981-04-09	1645	0
1981-04-10	1742	0
1981-04-11	1936	0
1981-04-12	2025	0
1981-04-13	598	0
1981-04-14	2123	0
1981-04-15	2111	0
1981-04-16	1332	0
1981-04-17	1382	0
1981-04-18	1144	0
1981-04-19	1234	0
1981-04-20	1436	0
1981-04-21	1831	0
1981-04-22	1214	0
1981-04-23	1271	0
1981-04-24	1786	0
1981-04-25	1584	0
1981-04-26	1801	0
1981-04-27	213	0
1981-04-28	1587	0
1981-04-29	305	0
1981-04-30	265	0
1981-05-01	1166	0
1981-05-02	1508	0
1981-05-03	1874	0
1981-05-04	1213	0
1981-05-05	1231	0
1981-05-06	1879	0
1981-05-07	1919	0
1981-05-08	2317	0
1981-05-09	2028	0
1981-05-10	2431	0
1981-05-11	2480	0
1981-05-12	1888	0
1981-05-13	2175	0
1981-05-14	1333	0
1981-05-15	1881	0
1981-05-16	1895	0
1981-05-17	1319	0
1981-05-18	2512	0
1981-05-19	2476	0
1981-05-20	2098	0
1981-05-21	2214	0
1981-05-22	1736	0
1981-05-23	941	0
1981-05-24	883	0
1981-05-25	909	0
1981-05-26	362	0
1981-05-27	740	0
1981-05-28	1902	0
1981-05-29	1174	0
1981-05-30	1759	0
1981-05-31	2447	0
1981-06-01	1959	0
1981-06-02	2436	0
1981-06-03	2036	0
1981-06-04	1102	0
1981-06-05	1758	0
1981-06-06	2168	0
1981-06-07	2293	0
1981-06-08	1438	0
1981-06-09	1353	0
1981-06-10	1650	0
1981-06-11	2559	0
1981-06-12	679	0
1981-06-13	2373	0
1981-06-14	1292	0
1981-06-15	654	0
1981-06-16	1274	0
1981-06-17	1679	0
1981-06-18	768	0
1981-06-19	494	0
1981-06-20	1492	0
1981-06-21	889	0
1981-06-22	1300	0
1981-06-23	1654	0
1981-06-24	625	0
1981-06-25	512	0
1981-06-26	2429	0
1981-06-27	2357	0
1981-06-28	2545	0
1981-06-29	2162	0
1981-06-30	812	0
1981-07-01	1146	0
1981-07-02	1935	0
1981-07-03	1223	0
1981-07-04	1767	0
1981-07-05	1795	0
1981-07-06	1979	0
1981-07-07	2079	0
1981-07-08	2214	0
1981-07-09	2202	0
1981-07-10	2392	0
1981-07-11	2288	0
1981-07-12	1124	0
1981-07-13	1188	0
1981-07-14	1325	0
1981-07-15	437	0
1981-07-16	1168	0
1981-07-17	705	0
1981-07-18	291	0
1981-07-19	307	0
1981-07-20	259	0
1981-07-21	672	0
1981-07-22	1541	0
1981-07-23	1324	0
1981-07-24	991	0
1981-07-25	1188	0
